Group	Stage	Tissue	Sample_id	Family	Mreads	>=Q30
LDAL	ADF	H	P20253_269	X3	36.49	93.89
LDAL	ADF	H	P20253_271	X4	46.96	92.56
LDAL	ADF	A	P20253_272	X4	86.95	94.05
LDAL	ADF	H	P20253_273	X18	55.09	93.11
LDAL	ADF	A	P20253_274	X18	64.00	93.71
#
AL	ADF	H	P20253_149	3	38.60	94.39
AL	ADF	A	P20253_150	3	40.43	93.95
AL	ADF	H	P20253_151	7	38.73	93.92
AL	ADF	A	P20253_152	7	33.49	93.95
AL	ADF	H	P20253_153	9	41.03	94.08
AL	ADF	A	P20253_154	9	47.77	94.20
AL	ADF	H	P20253_155	11	38.84	93.94
AL	ADF	A	P20253_156	11	35.98	93.93
AL	ADF	A	P20253_158	19	36.91	93.51
#
LI	ADF	H	P20253_159	8	41.18	93.52
LI	ADF	A	P20253_160	8	42.20	94.20
LI	ADF	H	P20253_161	10	44.01	93.82
LI	ADF	A	P20253_162	10	44.43	93.93
LI	ADF	H	P20253_163	12	40.05	94.16
LI	ADF	A	P20253_164	12	44.17	94.00
LI	ADF	H	P20253_165	14	32.21	94.02
LI	ADF	A	P20253_166	14	45.04	94.09
LI	ADF	H	P20253_167	16	42.48	92.55
LI	ADF	A	P20253_168	16	43.27	93.76
