NGI ID	User ID	Mreads	>=Q30
P20253_169	X4 HDLI ADM H	43.92	93.94
P20253_170	X4 HDLI ADM A	46.11	93.28
P20253_171	X18 HDLI ADM H	42.10	92.90
P20253_172	X18 HDLI ADM A	36.49	93.99
P20253_173	X3 HDLI ADF H	36.95	93.70
P20253_175	X18 HDLI ADF H	37.99	93.87
P20253_176	X18 HDLI ADF A	42.72	93.81
P20253_201	X1 HDAL PMA H	45.33	93.96
P20253_202	X1 HDAL PMA A	22.67	93.12
P20253_203	X1 HDAL PMB H	51.23	93.98
P20253_204	X1 HDAL PMB A	41.15	93.68
P20253_205	X3 HDAL PM H	42.26	94.15
P20253_206	X3 HDAL PM A	44.47	93.61
P20253_207	X18 HDAL PM H	41.63	94.04
P20253_208	X18 HDAL PM A	45.41	94.32
P20253_209	X1 HDAL PF H	39.37	94.26
P20253_210	X1 HDAL PF A	41.32	93.54
P20253_211	X3 HDAL PF H	42.55	93.60
P20253_212	X3 HDAL PF A	39.39	94.38
P20253_213	X4 HDAL PF H	36.05	94.31
P20253_214	X4 HDAL PF A	35.21	94.12
P20253_215	X18 HDAL PF H	33.11	94.35
P20253_216	X18 HDAL PF A	40.81	94.10
P20253_217	X1 HDLI PM H	44.68	94.25
P20253_218	X1 HDLI PM A	55.89	94.40
P20253_219	X3 HDLI PM H	39.59	94.42
P20253_220	X3 HDLI PM A	62.16	93.91
P20253_221	X4 HDLI PM H	46.11	93.78
P20253_222	X4 HDLI PM A	81.52	93.35
P20253_223	X18 HDLI PM H	42.10	93.05
P20253_224	X18 HDLI PM A	46.66	93.68
P20253_226	X1 HDLI PF A	35.21	93.48
P20253_227	X3 HDLI PF H	46.25	94.20
P20253_228	X3 HDLI PF A	34.80	93.05
P20253_229	X4 HDLI PF H	37.05	93.49
P20253_230	X4 HDLI PF A	72.56	93.98
P20253_231	X18 HDLI PF H	31.87	94.05
P20253_232	X18 HDLI PF A	39.21	93.49
P20253_233	X1 LDAL PM H	50.19	93.78
P20253_234	X1 LDAL PM A	44.97	94.25
P20253_235	X3 LDAL PM H	44.63	94.04
P20253_236	X3 LDAL PM A	50.34	94.14
P20253_237	X4 LDAL PM H	37.93	93.52
P20253_239	X18 LDAL PM H	55.48	94.19
P20253_240	X18 LDAL PM A	44.42	93.61
P20253_241	X1 LDAL PF H	47.61	93.72
P20253_242	X1 LDAL PF A	86.06	94.36
P20253_243	X3 LDAL PF H	40.67	94.12
P20253_244	X3 LDAL PF A	55.74	93.38
P20253_245	X4 LDAL PF H	35.78	93.72
P20253_246	X4 LDAL PF A	56.51	93.91
P20253_247	X18 LDAL PF H	46.98	93.97
P20253_248	X18 LDAL PF A	35.39	94.20
P20253_249	X1 HDAL ADM H	49.83	93.77
P20253_250	X1 HDAL ADM A	47.04	94.31
P20253_251	X18 HDAL ADM H	49.49	93.38
P20253_252	X18 HDAL ADM A	63.51	93.18
P20253_253	X1 HDAL ADF H	51.48	94.08
P20253_254	X1 HDAL ADF A	47.23	93.54
P20253_255	X3 HDAL ADF H	50.41	93.66
P20253_256	X3 HDAL ADF A	45.45	93.82
P20253_257	X18 HDAL ADF H	45.79	93.89
P20253_258	X18 HDAL ADF A	52.31	94.30
P20253_259	X1 LDAL ADM H	49.34	93.66
P20253_260	X1 LDAL ADM A	24.92	93.53
P20253_261	X3 LDAL ADM A H	44.56	93.83
P20253_263	X3 LDAL ADM B H	49.13	93.79
P20253_264	X3 LDAL ADM B A	53.31	93.53
P20253_265	X18 LDAL ADM H	41.83	93.89
P20253_266	X18 LDAL ADM A	40.62	94.21
P20253_267	X1 LDAL ADF H	42.24	93.68
P20253_268	X1 LDAL ADF A	28.44	92.80
P20253_269	X3 LDAL ADF H	36.49	93.89
P20253_271	X4 LDAL ADF H	46.96	92.56
P20253_272	X4 LDAL ADF A	86.95	94.05
P20253_273	X18 LDAL ADF H	55.09	93.11
P20253_274	X18 LDAL ADF A	64.00	93.71
